Date,Open,High,Low,Close ,Volume
12/15/2025,312.63,312.7,305.74,309.32,"21,995,000"
12/12/2025,314.8,316.14,306.96,310.52,"21,264,800"
12/11/2025,321.1,321.99,309.88,313.7,"25,912,100"
12/10/2025,316.62,321.87,315.4,321,"22,764,500"
12/9/2025,313.1,318.71,312.62,317.75,"14,151,300"
12/8/2025,321.03,321.23,311.91,314.45,"22,006,900"
12/5/2025,320,323.83,319.98,322.09,"15,719,900"
12/4/2025,323.05,323.1,315.59,318.39,"20,831,600"
12/3/2025,316.03,322.04,314.28,320.62,"32,285,100"
12/2/2025,316.9,318.6,314.22,316.02,"24,668,200"
12/1/2025,317.48,319.63,313.98,315.12,"28,520,600"
11/28/2025,323.43,326.88,316.94,320.12,"19,695,800"
11/26/2025,320.78,324.99,317.2,320.28,"29,839,600"
11/25/2025,326.8,328.67,317.82,323.64,"50,899,300"
11/24/2025,311.01,319.8,309.4,318.47,"55,311,800"
11/21/2025,296.87,303.96,294.36,299.65,"43,670,600"
11/20/2025,304.74,306.89,289.17,289.98,"34,801,400"
11/19/2025,287.68,304.25,287.67,292.99,"43,123,600"
11/18/2025,288.48,289.43,279.01,284.96,"29,702,200"
11/17/2025,286.4,294.52,284.23,285.6,"34,286,100"
11/14/2025,271.89,279.15,271.41,276.98,"18,330,500"
11/13/2025,282.98,283.51,278,279.12,"18,060,200"
11/12/2025,292.08,292.36,284.38,287.43,"16,998,800"
11/11/2025,288.2,292.34,287.88,291.74,"14,156,700"
11/10/2025,285.27,291.46,283.54,290.59,"19,508,200"
11/7/2025,284.21,284.5,275.74,279.7,"21,991,100"
11/6/2025,285.73,288.81,281.62,285.34,"23,103,800"
11/5/2025,279.38,286.7,277.88,284.75,"20,063,200"
11/4/2025,277.07,281.83,276.86,278.06,"18,123,700"
11/3/2025,282.42,285.94,280.37,284.12,"19,691,800"
10/31/2025,283.2,286.29,277.52,281.82,"29,932,800"
