Date,Open,High,Low,Close ,Volume
12/15/2025,480.1,480.72,472.52,474.82,"23,698,500"
12/12/2025,479.82,482.45,476.34,478.53,"21,248,100"
12/11/2025,476.63,486.03,475.86,483.47,"24,669,200"
12/10/2025,484.03,484.25,475.08,478.56,"35,756,200"
12/9/2025,489.1,492.12,488.5,492.02,"14,696,100"
12/8/2025,484.89,492.3,484.38,491.02,"21,965,900"
12/5/2025,482.52,483.4,478.88,483.16,"22,608,700"
12/4/2025,479.76,481.32,476.49,480.84,"22,318,200"
12/3/2025,476.32,484.24,475.2,477.73,"34,615,100"
12/2/2025,486.72,493.5,486.32,490,"19,562,700"
12/1/2025,488.44,489.86,484.65,486.74,"23,964,000"
11/28/2025,487.6,492.63,486.65,492.01,"14,386,700"
11/26/2025,486.31,488.31,481.2,485.5,"25,709,100"
11/25/2025,474.07,479.15,464.89,476.99,"28,019,800"
11/24/2025,475,476.9,468.02,474,"34,421,000"
11/21/2025,478.5,478.92,468.27,472.12,"31,769,200"
11/20/2025,492.71,493.57,475.5,478.43,"26,802,500"
11/19/2025,490.1,495.19,482.83,487.12,"23,245,300"
11/18/2025,495.37,502.98,486.78,493.79,"33,815,100"
11/17/2025,508.45,512.12,504.91,507.49,"19,092,800"
11/14/2025,498.23,511.6,497.44,510.18,"28,505,700"
11/13/2025,510.31,513.5,501.29,503.29,"25,273,100"
11/12/2025,509.36,511.67,499.12,511.14,"26,574,900"
11/11/2025,504.8,509.6,502.35,508.68,"17,980,000"
11/10/2025,500.04,506.85,498.8,506,"26,101,500"
11/7/2025,496.95,499.38,493.25,496.82,"24,019,800"
11/6/2025,505.66,505.7,495.81,497.1,"27,406,500"
11/5/2025,513.3,514.83,506.58,507.16,"23,024,300"
11/4/2025,511.76,515.55,507.84,514.33,"20,958,700"
11/3/2025,519.81,524.96,514.59,517.03,"22,374,700"
10/31/2025,528.88,529.32,515.1,517.81,"34,006,400"
