Date,Open,High,Low,Close ,Volume,
12/15/2025,469.44,481.77,467.66,475.31,"113,994,200",
12/11/2025,448.95,449.27,440.33,446.89,"55,979,500",
12/10/2025,446.07,456.88,443.61,451.45,"63,257,500",
12/9/2025,437.54,452.39,435.7,445.17,"62,367,400",
12/8/2025,447.45,449.75,435.25,439.58,"69,165,800",
12/5/2025,453.03,458.87,451.66,455,"56,427,500",
12/4/2025,449.94,454.63,445.39,454.53,"71,906,500",
12/3/2025,432.1,447.92,431.11,446.74,"87,483,000",
12/2/2025,430.81,436.8,422.12,429.24,"69,336,600",
12/1/2025,425.32,433.66,425.29,430.14,"57,463,600",
11/28/2025,426.59,432.93,426.2,430.17,"36,252,900",
11/26/2025,423.95,426.94,416.89,426.58,"63,463,000",
11/25/2025,414.42,420.48,405.95,419.4,"71,915,600",
11/24/2025,402.17,421.72,401.09,417.78,"96,806,400",
11/21/2025,402.32,402.8,383.76,391.09,"100,460,600",
11/20/2025,414.63,428.94,394.74,395.23,"113,548,800",
11/19/2025,406.18,411.78,398.5,403.99,"72,047,700",
11/18/2025,405.38,408.9,393.71,401.25,"80,688,600",
11/17/2025,398.74,423.96,398.74,408.92,"102,214,300",
11/14/2025,386.3,412.19,382.78,404.35,"105,506,700",
11/13/2025,423.13,424.5,396.34,401.99,"118,948,000",
11/12/2025,442.15,442.33,426.56,430.6,"58,513,500",
11/11/2025,439.4,442.49,432.36,439.62,"60,533,200",
11/10/2025,439.6,449.67,433.36,445.23,"76,515,900",
11/7/2025,437.92,439.36,421.88,429.52,"103,471,500",
11/6/2025,461.96,467.45,435.09,445.91,"109,622,900",
11/5/2025,452.05,466.33,440.71,462.07,"85,573,000",
11/4/2025,454.46,460.22,443.6,444.26,"87,756,600",
11/3/2025,455.99,474.07,453.8,468.37,"84,595,200",
10/31/2025,446.75,458,443.69,456.56,"83,135,800",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
